31," “F:\\P1-Batch06-Videos\\ZFish-P1-02-17-14 1100 Main-1GAB.mov""",89.4,16.5,73.4,120.5,302.4,121.5,270.4,16.5,97.4,159.5,93.4,253.5,303.4,256.5,273.4,151.5,111.4,281.5,112.4,369.5,298.4,367.5,270.4,278.5,130.4,390.5,130.4,461.5,310.4,465.5,282.4,389.5,399.4,26.5,369.4,125.5,584.4,132.5,580.4,31.5,395.4,160.5,359.4,256.5,562.4,256.5,560.4,159.5,385.4,283.5,357.4,371.5,544.4,368.5,544.4,285.5,378.4,393.5,350.4,466.5,525.4,464.5,528.4,397.5,0,0,.914,.1305
32," “F:\\P1-Batch06-Videos\\ZFish-P1-02-17-14 1430 Main-1GAB.mov""",100.4,16.5,90.4,121.5,302.4,121.5,270.4,16.5,113.4,157.5,108.4,250.5,307.4,257.5,276.4,154.5,126.4,278.5,126.4,367.5,315.4,368.5,286.4,277.5,144.4,386.5,144.4,461.5,319.4,464.5,295.4,389.5,414.4,24.5,377.4,124.5,594.4,130.5,592.4,26.5,404.4,164.5,372.4,256.5,575.4,256.5,577.4,161.5,394.4,281.5,365.4,371.5,551.4,367.5,553.4,286.5,389.4,391.5,364.4,464.5,539.4,465.5,541.4,392.5,0,0,1.03,.082
33," “F:\\P1-Batch06-Videos\\ZFish-P1-02-18-14 1100 Main-1GAB.mov""",116.4,19.5,104.4,123.5,320.4,123.5,291.4,18.5,126.4,156.5,121.4,254.5,307.4,257.5,276.4,154.5,142.4,278.5,142.4,367.5,329.4,368.5,303.4,281.5,162.4,387.5,164.4,459.5,335.4,462.5,315.4,391.5,414.4,24.5,383.4,126.5,603.4,130.5,598.4,26.5,419.4,159.5,387.4,258.5,592.4,258.5,593.4,162.5,415.4,279.5,386.4,368.5,576.4,367.5,573.4,285.5,408.4,389.5,382.4,462.5,558.4,465.5,557.4,392.5,0,0,1.198,.1165
34," “F:\\P1-Batch06-Videos\\ZFish-P1-02-18-14 1430 Main-1GAB.mov""",104.4,23.5,94.4,124.5,313.4,124.5,282.4,20.5,118.4,157.5,113.4,253.5,312.4,256.5,283.4,153.5,131.4,277.5,129.4,365.5,317.4,367.5,291.4,278.5,149.4,389.5,148.4,459.5,324.4,462.5,301.4,390.5,414.4,24.5,385.4,127.5,603.4,130.5,598.4,26.5,414.4,156.5,384.4,252.5,584.4,255.5,585.4,159.5,400.4,279.5,374.4,369.5,558.4,365.5,559.4,283.5,393.4,390.5,371.4,462.5,543.4,462.5,545.4,390.5,0,0,1.114,.098
35," “F:\\P1-Batch06-Videos\\ZFish-P1-02-19-14 1100 Main-1GAB.mov""",91.4,13.5,81.4,121.5,300.4,121.5,269.4,15.5,106.4,154.5,105.4,249.5,304.4,252.5,275.4,152.5,122.4,277.5,120.4,362.5,309.4,363.5,283.4,276.5,139.4,388.5,139.4,457.5,314.4,459.5,294.4,388.5,410.4,17.5,379.4,121.5,592.4,127.5,588.4,25.5,397.4,158.5,366.4,253.5,566.4,254.5,566.4,160.5,388.4,279.5,362.4,367.5,548.4,366.5,547.4,281.5,376.4,392.5,352.4,463.5,528.4,464.5,528.4,391.5,0,0,1.326,.1325
36," “F:\\P1-Batch06-Videos\\ZFish-P1-02-19-14 1430 Main-1GAB.mov""",90.4,16.5,77.4,121.5,295.4,120.5,269.4,15.5,106.4,154.5,105.4,249.5,301.4,251.5,272.4,155.5,122.4,277.5,120.4,362.5,305.4,364.5,278.4,274.5,139.4,388.5,139.4,457.5,312.4,460.5,290.4,388.5,410.4,17.5,373.4,123.5,585.4,127.5,581.4,25.5,397.4,158.5,366.4,253.5,566.4,254.5,566.4,160.5,388.4,279.5,362.4,367.5,548.4,366.5,547.4,281.5,380.4,391.5,357.4,462.5,531.4,465.5,531.4,392.5,0,0,.998,.1105
37," “F:\\P1-Batch07-Videos\\ZFish-P1-02-20-14 1100 Main-5GWT.mov""",126.4,18.5,115.4,123.5,334.4,121.5,302.4,16.5,139.4,154.5,134.4,250.5,339.4,252.5,307.4,148.5,154.4,278.5,153.4,361.5,344.4,365.5,316.4,270.5,174.4,386.5,171.4,458.5,348.4,459.5,325.4,389.5,437.4,18.5,403.4,121.5,622.4,124.5,617.4,26.5,425.4,158.5,393.4,251.5,596.4,254.5,596.4,160.5,414.4,277.5,384.4,368.5,575.4,369.5,577.4,281.5,419.4,392.5,393.4,465.5,571.4,462.5,571.4,390.5,0,0,1.198,.104
38," “F:\\P1-Batch07-Videos\\ZFish-P1-02-20-14 1430 Main-5GWT.mov""",81.4,16.5,69.4,120.5,291.4,120.5,259.4,12.5,94.4,153.5,89.4,248.5,290.4,250.5,261.4,150.5,107.4,276.5,103.4,361.5,294.4,362.5,268.4,272.5,125.4,384.5,125.4,456.5,302.4,459.5,280.4,383.5,399.4,16.5,364.4,120.5,577.4,125.5,577.4,23.5,394.4,150.5,358.4,250.5,558.4,251.5,559.4,156.5,380.4,274.5,351.4,360.5,539.4,361.5,537.4,278.5,372.4,386.5,348.4,460.5,522.4,459.5,524.4,389.5,0,0,1.262,.1385
39," “F:\\P1-Batch07-Videos\\ZFish-P1-02-21-14 1100 Main-5GWT.mov""",72.4,15.5,62.4,118.5,283.4,119.5,252.4,14.5,87.4,151.5,83.4,248.5,290.4,250.5,261.4,150.5,107.4,276.5,103.4,361.5,294.4,362.5,268.4,272.5,118.4,385.5,118.4,456.5,294.4,459.5,273.4,386.5,387.4,16.5,351.4,119.5,567.4,124.5,568.4,21.5,384.4,152.5,353.4,250.5,553.4,252.5,554.4,158.5,380.4,274.5,350.4,366.5,537.4,364.5,537.4,278.5,372.4,386.5,348.4,460.5,522.4,459.5,524.4,389.5,0,0,1.104,.1405
40," “F:\\P1-Batch07-Videos\\ZFish-P1-02-21-14 1430 Main-5GWT.mov""",88.4,17.5,80.4,117.5,299.4,118.5,269.4,14.5,102.4,154.5,97.4,249.5,296.4,248.5,267.4,146.5,114.4,276.5,114.4,362.5,303.4,362.5,272.4,267.5,135.4,387.5,135.4,457.5,309.4,460.5,285.4,388.5,406.4,16.5,369.4,119.5,586.4,127.5,585.4,25.5,400.4,152.5,369.4,249.5,568.4,253.5,569.4,160.5,389.4,277.5,362.4,362.5,546.4,365.5,547.4,279.5,381.4,388.5,358.4,462.5,533.4,461.5,532.4,390.5,0,0,1.084,.1145
41," “F:\\P1-Batch07-Videos\\ZFish-P1-02-22-14 1100 Main-5GWT.mov""",114.4,19.5,106.4,119.5,322.4,120.5,293.4,16.5,128.4,155.5,126.4,251.5,327.4,250.5,295.4,145.5,142.4,279.5,141.4,364.5,332.4,363.5,302.4,277.5,156.4,387.5,157.4,458.5,331.4,463.5,308.4,388.5,427.4,17.5,395.4,120.5,610.4,125.5,608.4,22.5,426.4,152.5,391.4,250.5,594.4,251.5,594.4,160.5,420.4,279.5,392.4,363.5,581.4,364.5,583.4,283.5,411.4,391.5,385.4,464.5,562.4,462.5,564.4,391.5,0,0,1.062,.1485
42," “F:\\P1-Batch07-Videos\\ZFish-P1-02-22-14 1430 Main-5GWT.mov""",114.4,19.5,106.4,119.5,322.4,120.5,293.4,16.5,128.4,155.5,126.4,251.5,327.4,250.5,295.4,145.5,142.4,279.5,141.4,364.5,332.4,363.5,302.4,277.5,158.4,387.5,158.4,458.5,331.4,463.5,313.4,385.5,430.4,18.5,397.4,122.5,615.4,127.5,610.4,23.5,426.4,152.5,391.4,250.5,594.4,251.5,594.4,160.5,413.4,279.5,385.4,364.5,575.4,364.5,570.4,281.5,411.4,391.5,385.4,464.5,562.4,462.5,564.4,391.5,0,0,1.378,.088
43," “F:\\P1-Batch08-Videos\\ZFish-P1-02-24-14 1100 Main-1GAB.mov""",96.4,19.5,86.4,120.5,309.4,122.5,279.4,17.5,114.4,155.5,111.4,250.5,312.4,251.5,285.4,152.5,128.4,277.5,124.4,363.5,315.4,366.5,289.4,279.5,143.4,389.5,143.4,458.5,320.4,462.5,296.4,388.5,408.4,21.5,375.4,123.5,590.4,128.5,590.4,27.5,402.4,152.5,368.4,256.5,570.4,257.5,574.4,155.5,394.4,280.5,366.4,363.5,554.4,366.5,555.4,284.5,381.4,391.5,355.4,462.5,533.4,464.5,534.4,391.5,0,0,1.094,.1065
44," “F:\\P1-Batch08-Videos\\ZFish-P1-02-24-14 1430 Main-1GAB.mov""",96.4,19.5,86.4,120.5,305.4,123.5,277.4,19.5,114.4,155.5,103.4,252.5,309.4,252.5,280.4,156.5,128.4,277.5,124.4,363.5,315.4,366.5,289.4,279.5,143.4,389.5,143.4,458.5,320.4,462.5,296.4,388.5,411.4,24.5,377.4,124.5,595.4,130.5,590.4,27.5,408.4,154.5,377.4,254.5,579.4,258.5,574.4,155.5,397.4,280.5,369.4,368.5,558.4,370.5,555.4,284.5,390.4,391.5,367.4,462.5,541.4,465.5,542.4,395.5,0,0,.978,.1345
