fish,session,tank,include,strain,y1.n,entrytotop.min,y1.mean,topbottom.mean,y1.sd,topbottom.sd,y1.skew,y1.se,
34,3,52,1,5G,5161,1805.00,63.0039,.8066,17.74217,.39498,-.796,.034,
38,3,53,0,5G,109,2065.00,43.9437,.5413,26.46677,.50059,-.160,.231,
35,3,54,0,5G,367,1815.00,29.9790,.4578,18.52642,.49889,.044,.127,
32,3,55,1,5G,2748,1805.00,55.5469,.5608,22.81226,.49638,-.201,.047,
33,3,56,1,5G,5370,9280.00,45.3469,.5002,24.81702,.50005,.049,.033,
37,3,57,1,5G,578,2255.00,27.4774,.2059,19.55432,.40470,.709,.102,
36,3,58,1,5G,5797,1805.00,28.3065,.3788,17.44164,.48513,.265,.032,
33,3,61,1,5G,3087,2380.00,55.1537,.5196,23.62034,.49970,.044,.044,
37,3,62,0,5G,227,1930.00,54.9085,.6256,22.73720,.48505,-.370,.162,
31,3,63,1,5G,5380,1910.00,44.2523,.6193,21.10501,.48560,-.461,.033,
34,3,64,1,5G,4990,1805.00,41.3101,.7537,13.94948,.43089,-.886,.035,
35,3,65,1,5G,1031,15395.00,43.6014,.4074,30.40439,.49158,.419,.076,
38,3,66,1,5G,1893,24030.00,44.8549,.3862,18.59421,.48700,.470,.056,
36,3,67,1,5G,5900,9795.00,22.7931,.2032,19.83762,.40243,1.117,.032,
32,3,68,1,5G,2250,1820.00,20.5019,.1982,15.14036,.39875,.777,.052,
48,4,11,1,AB,3398,1815.00,64.8956,.7163,21.52427,.45086,-.651,.042,
42,4,12,1,AB,1980,2165.00,68.2691,.7126,26.88447,.45265,-.560,.055,
45,4,13,1,AB,3790,1960.00,20.6632,.1361,15.73664,.34299,1.069,.040,
43,4,14,1,AB,2006,1805.00,15.0138,.0837,12.55453,.27708,1.777,.055,
41,4,15,1,AB,6676,1980.00,26.7083,.0520,11.39388,.22200,1.537,.030,
47,4,16,1,AB,6173,2185.00,31.3022,.1716,16.09694,.37702,.942,.031,
46,4,17,1,AB,5308,2155.00,36.6810,.4079,17.71633,.49149,.003,.034,
